[2020-10-22 16:39:56,408][Thread-2:140618294617856][task_id:django.server][basehttp.py:154][INFO]["GET /admin/jsi18n/ HTTP/1.1" 200 7684]
[2020-10-22 16:39:56,642][Thread-2:140618294617856][task_id:django.server][basehttp.py:154][INFO]["GET /static/favicon-1.ico HTTP/1.1" 200 1500]
[2020-10-22 16:40:26,416][MainThread:139664234832256][task_id:django][views.py:123][INFO][Starting scheduler...]
[2020-10-22 16:40:39,467][Dummy-1:140192268347136][task_id:django][views.py:123][INFO][Starting scheduler...]
[2020-10-22 16:40:42,490][Thread-2:140192318686976][task_id:django.server][basehttp.py:154][INFO]["GET /admin/django_apscheduler/djangojob/ HTTP/1.1" 200 41598]
[2020-10-22 16:40:42,579][Thread-5:140191993259776][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/prepopulate.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:40:42,579][Thread-3:140192327079680][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:40:42,580][Thread-4:140192001914624][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/actions.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:40:42,580][Thread-6:140191984867072][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/vendor/xregexp/xregexp.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:40:42,584][Thread-2:140192318686976][task_id:django.server][basehttp.py:154][INFO]["GET /admin/jsi18n/ HTTP/1.1" 200 7684]
[2020-10-22 16:40:42,705][Thread-2:140192318686976][task_id:django.server][basehttp.py:154][INFO]["GET /admin/django_apscheduler/djangojob/ HTTP/1.1" 200 41598]
[2020-10-22 16:40:42,810][Thread-6:140191984867072][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:40:42,813][Thread-3:140192327079680][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/vendor/xregexp/xregexp.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:40:42,813][Thread-5:140191993259776][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/prepopulate.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:40:42,813][Thread-4:140192001914624][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/actions.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:40:42,817][Thread-2:140192318686976][task_id:django.server][basehttp.py:154][INFO]["GET /admin/jsi18n/ HTTP/1.1" 200 7684]
[2020-10-22 16:40:42,955][Thread-2:140192318686976][task_id:django.server][basehttp.py:154][INFO]["GET /admin/django_apscheduler/djangojob/ HTTP/1.1" 200 41598]
[2020-10-22 16:40:43,095][Thread-3:140192327079680][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/prepopulate.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:40:43,096][Thread-4:140192001914624][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:40:43,096][Thread-5:140191993259776][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/actions.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:40:43,098][Thread-6:140191984867072][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/vendor/xregexp/xregexp.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:40:43,105][Thread-2:140192318686976][task_id:django.server][basehttp.py:154][INFO]["GET /admin/jsi18n/ HTTP/1.1" 200 7684]
[2020-10-22 16:40:43,158][Thread-7:140191976212224][task_id:django.server][basehttp.py:154][INFO]["GET /admin/django_apscheduler/djangojob/ HTTP/1.1" 200 41598]
[2020-10-22 16:40:43,277][Thread-2:140192318686976][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:40:43,279][Thread-6:140191984867072][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/actions.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:40:43,280][Thread-5:140191993259776][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/vendor/xregexp/xregexp.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:40:43,280][Thread-4:140192001914624][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/prepopulate.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:40:43,288][Thread-7:140191976212224][task_id:django.server][basehttp.py:154][INFO]["GET /admin/jsi18n/ HTTP/1.1" 200 7684]
[2020-10-22 16:40:43,344][Thread-3:140192327079680][task_id:django.server][basehttp.py:154][INFO]["GET /admin/django_apscheduler/djangojob/ HTTP/1.1" 200 41598]
[2020-10-22 16:40:43,494][Thread-6:140191984867072][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:40:43,494][Thread-4:140192001914624][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/actions.min.js HTTP/1.1" 200 1500]
